CODE_PDV;RAISON_SOCIALE;COMMERCIAL;ID_UNIQUE
91478;PETIT CASINO;111C;2AHTDRL2B93
91504;8 A HUIT;111C;2AHTE4TD87J
91505;AUCHAN SUPERMARCHE;112P;2AHTE6GWIW5
91506;G 20;112C;2AHTE84FSOX
91511;CASINO;111C;2AHTEGE4O51
91512;FRANPRIX;112C;2AHTEI1NZYT
91514;AUCHAN SUPERMARCHE;112P;2AHTELCQPQR
91522;CARREFOUR EXPRESS;111C;2AHTEYL1D8J
91523;FRANPRIX;112C;2AHTF08KTD1
91528;PROXI;111C;2AHTF8I9IBN
91529;SPAR;111C;2AHTFA5SWRU
91530;FRANPRIX;112P;2AHTFBTC4EO
91532;FRANPRIX;112P;2AHTFF4EXVX
91537;CARREFOUR CONTACT;112C;2AHTFNE3OON
91552;PROXI SUPER;112C;2AHTGC75T66
91557;DIAGONAL;112C;2AHTGITB3ZP
91558;FRANPRIX;111C;2AHTGKGUHEO
91559;CORA DRIVE;112C;2AHTGM4DXET
91563;LEADER PRICE EXPRESS;112C;2AHTGSQJ65F
91565;VIVAL;111C;2AHTGW1LVGT
91569;PETIT CASINO;111C;2AHTH2NR8Y7
91572;CASINO SHOP;112C;2AHTH7MDD9W
91585;G 20;111C;2BFPJSQ9LYD
91587;FRANPRIX;112C;2AYZ5XQFJ15
91591;E. LECLERC DRIVE;112C;2CHYKK3SZFB
91d35;E. LECLERC DRIVE;111C;TWDITRVYJX
92172;INTERMARCHE SUPER;112C;2AHTNJUJ6W2
92173;MONOPRIX;112P;2AHTNLI2NHS
92244;MARKET;112C;2AHTPR8BY9P
92287;FRANPRIX;112C;2AHTRD4555X
92290;LEADER PRICE EXPRESS;112C;2AHTRI2R6AZ
92316;FRANPRIX;112C;2AHTSNF6UB3
92317;SITIS;112C;2AHTSP2Q57F
92408;FRANPRIX;112C;2AHTT8X68PD
92411;FRANPRIX;112C;2AHTTC890UU
92416;CASINO SHOP;112C;2AHTTIUEHSG
92422;CARREFOUR EXPRESS;112C;2AHTTR436OW
92427;8 A HUIT;112C;2AHTTXQ8G3L
92429;CASINO;112C;2AHTU11B7Q8
92442;CARREFOUR EXPRESS;112C;2AHTUMJAQKP
92449;DAILY MONOP;112C;2AHTUY425S2
92458;CARREFOUR CITY;112C;2AHTV81AAYB
92464;MY AUCHAN;112C;2AHTVENFK8L
92467;FRANPRIX;112C;2AHTVJM1N4B
92495;FRANPRIX;112C;2AHTW5418QC
92523;CASINO SHOP;112C;2AHTX3UBG8M
92525;SITIS MARKET;112C;2AHTX75E9LL
92556;CARREFOUR EXPRESS;112C;2AHTYHGFYNI
92597;FRANPRIX;112C;2AHU0D9H1BI
92613;CARREFOUR CITY;112C;2AHU122JCLU
92614;CASINO SHOP;112C;2AHU13Q2KEC
92620;CARREFOUR CITY;112C;2AHU1DNAN2W
92632;MONOP';112C;2B39YP5XAEL
92635;MONOP';112C;2BRJBS98YC2
92638;FRANPRIX;112C;8AA9AXDKUQ
92648;LIDL;112C;2BOB051W4DV
92664;FRANPRIX;112C;2AZ4U4YJ7AU
92679;CARREFOUR EXPRESS;112C;DJ8DE3K81P
93007;AUCHAN;111C;2AHU3RN8T40
93017;CARREFOUR;111C;2AHU44VJKDX
93125;SUPER U;111C;2AHU6M6KD65
93126;SUPER U;111C;2AHU6NU3QNF
93127;SUPER U;111C;2AHU6PHMWZL
93145;HYPER U;111C;2AHU7EAP6GJ
93159;FRANPRIX;111C;2AHU7ZSOO70
93160;U EXPRESS;111P;2AHU81G86AT
93176;FRANPRIX;111C;2AHU8MY7NLO
93192;INTERMARCHE SUPER;111C;2AHU96SNTPA
93252;CONTACT MARCHE;111C;2AHUB2LOXFG
93430;AUCHAN SUPERMARCHE;111P;2AHUC7Y4QYZ
93559;FRANPRIX;111C;2AHUEFBX85Q
93572;CARREFOUR CONTACT;111C;2AHUF0TWSD3
94001;CARREFOUR;111C;2AHUHQEM8FM
94004;CARREFOUR;111C;2AHUHTPP370
94005;HYPER CASINO;111P;2AHUHVD8BIR
94006;CARREFOUR;112C;2AHUHX0RRQU
94007;CARREFOUR;112C;2AHUHYOAZJA
94008;AUCHAN SUPERMARCHE;112P;2AHUI0BUD71
